Item,Covered California ID,Entity Name,County / Pediatric,Source,2015 to 2016 Inclusion,Address,City,State,ZIP,Rating Region,FIPS Code,Medicare Provider Number,340B ID,Entity Type Code,OSHPD ID,CA License,CA Facility ID,NPI,Billing Organization,Billing Address 1,Billing Address,Billing City,Billing State,Billing Zip,Primary Contact Name,Primary Contact Title,Primary Contact Telephone,Primary Contact Extension,Y,X,Tract,Block
72,10077H0003,DAMERON HOSPITAL ASSOCIATION,,340B,Unchanged,525 WEST ACACIA STREET,STOCKTON,CA,95203,10,077,50122,DSH050122,DSH,106390846,030000024,030000117,,,,,,,,Gerald Downs,Director of Pharmacy,(209) 461-3129,,37.96121953,-121.3006114,401,1017
76,10099H0005,DOCTORS MEDICAL CENTER,,DHCS DSH,Unchanged,1441 FLORIDA Ave,MODESTO,CA,95350,10,099,50464,,,106500852,030000026,030000122,,,,,,,,"Kirk, Warren J",Administrator,(209) 578-1211,,37.665517,-120.996216,,
73,10043H0008,JOHN C. FREMONT HEALTHCARE DISTRICT,,340B,Unchanged,5189 HOSPITAL RD,MARIPOSA,CA,95338,10,043,51304,CAH051304-00,Critical Access Hospital,106220733,040000108,040000345,1497971451,JOHN C. FREMONT HEALTHCARE DISTRICT,P.O. BOX 216,,MARIPOSA,CA,95338,Theresa Loya,Chief Nursing Officer,(209) 966-3631,290,37.50265874,-119.9775982,101,2011
74,10107H0012,KAWEAH DELTA HEALTH CARE DISTRICT,,340B & DHCS DSH,Unchanged,400 WEST MINERAL KING AVENUE,VISALIA,CA,93291,10,107,50057,DSH050057,DSH,106540734,120000580,120001444,1588663769,,,,,,,COBY LA BLUE,DIRECTOR OF FINANCIAL AND LOGISTICAL PLANNING,(559) 624-2356,,36.327356,-119.295137,1200,1136
75,10047H0017,MEMORIAL HOSPITAL LOS BANOS,,340B & DHCS DSH,Unchanged,520 WEST I STREET,LOS BANOS,CA,93635,10,047,50528,DSH050528,DSH,106240924,040000177,040000110,1033352125,,,,,,,JAMES PETROCELLI,"DIRECTOR, PHARMACY",(209) 826-0591,330,37.0634266,-120.8594671,2201,4017
77,10099H0018,MEMORIAL HOSPITAL MODESTO,,340B,Unchanged,1700 COFFEE ROAD,MODESTO,CA,95355,10,099,50557,DSH050557,DSH,106500939,030000061,030000123,1629059746,Memorial Medical Center,P.O. Box 619110,,Roseville,CA,95661,J. Grant Breshears,Director of Pharmacy,(209) 569-7352,,37.66854587,-120.9756826,910,3001
79,10047H0019,MERCY MEDICAL CENTER MERCED,,340B & DHCS DSH,Unchanged,333 MERCY AVE,MERCED,CA,95340,10,047,50444,DSH050444,DSH,106240942,040000178,040000113,,,,,,,,Brian Elmore,Director of Pharmacy,(209) 564-5037,,37.34040249,-120.4651522,1801,1010
78,10099H0021,OAK VALLEY DISTRICT HOSPITAL (2-RH),,DHCS DSH,Unchanged,350 S OAK ave,OAKDALE,CA,95361,10,077,50067,,,106500967,030000069,030000131,,,,,,,,"Koff, Cheryl",Administrator,(209) 847-3011,,37.757881,-120.860219,,
80,10077H0023,SAN JOAQUIN GENERAL HOSPITAL,County,340B & DHCS DSH,Unchanged,500 WEST HOSPITAL ROAD,FRENCH CAMP,CA,95231,10,077,50167,DSH050167,DSH,106391010,030000087,030000135,1952476525,SAN JOAQUIN GENERAL HOSPITAL,PO BOX 1020,,STOCKTON,CA,95201,KRISSY HIRAI,PHARMACY SUPERVISOR,(209) 468-7225,,37.886132,-121.281177,3803,2031
81,10107H0024,SIERRA VIEW DISTRICT HOSPITAL,,340B & DHCS DSH,Unchanged,465 W PUTNAM AVENUE,PORTERVILLE,CA,93257,10,107,50261,DSH050261,DSH,106540798,120000584,120001466,,,,,,,,Aaron Gates,Director of Pharmacy Services,(559) 788-6111,,36.0695325,-119.027521,3801,2028
82,10077H0025,ST JOSEPH'S MEDICAL CENTER,,340B,Unchanged,1800 N CALIFORNIA STREET,STOCKTON,CA,95204,10,077,50084,DSH050084,DSH,106391042,030000284,030000143,,,,,,,,William Yee,DIRECTOR OF PHARMACY,(209) 467-6518,,37.970739,-121.289251,1300,1007
83,10077H0027,SUTTER TRACY COMMUNITY HOSPITAL,,340B,Unchanged,1420 NORTH TRACY BOULEVARD,TRACY,CA,95376,10,077,50313,DSH050313,DSH,106391056,030000105,030000141,1508105354,,,,,,,YASUO TODD SHINOHARA,"DIRECTOR, PHARMACY SERVICES",(209) 833-2452,,37.743634,-121.4350646,5303,3010
84,10107H0028,TULARE LOCAL HEALTHCARE DISTRICT DBA TULARE REGIONAL MEDICAL CENTER,,340B & DHCS DSH,Unchanged,869 N Cherry St.,TULARE,CA,93274,10,107,50359,DSH050359,DSH,106540816,120000585,120001467,1306840723,,,,,,,Sharon Fong,Director of Ancillary Services,(559) 685-3870,,36.21972531,-119.3375935,2303,4012
206,10077H0029,LODI MEMORIAL HOSPITAL,,340B ,Added,975 S. FAIRMONT AVENUE,LODI,CA,95240,10,077,050336,DSH050336,DSH,106390923,030000056,030000139,1316938301,"Lodi Memorial Hospital Association, Inc.",P O Box 3004,,Lodi,CA,95241,Terry Deak,VP & Chief Financial Officer,(209) 339-7898,,38.120487,-121.28583,4302,3004
85,11031H0001,Adventist Medical Center,,340B DSH,Unchanged,115 mall drive,HANFORD,CA,93230,11,031,50121,DSH050121,DSH,106164029,550001439,630012960,1538141627,,,,,,,John Choi,DOP,(559) 537-2204,,36.325505,-119.668528,1002,1017
87,11031H0004,Central Valley General Hospital,,340B & DHCS DSH,Unchanged,1025 N. Douty Street,HANFORD,CA,93230,11,031,50196,DSH050196,DSH,106160787,040000140,040000119,1891777983,,,,,,,John Choi,DOP,(559) 537-2204,,36.33521039,-119.6460325,900,3014
90,11039H0005,Valley Childrens Hospital  PREV CHILDREN'S HOSPITAL CENTRAL CALIFORNIA - ,Pediatric,DHCS DSH,Unchanged,9300 VALLEY CHILDRENS PL,MADERA,CA,93636,11,039,,,,106204019,40000160,040000129,,,,,,,,"Armendariz, Jennifer","Director, Contracting & Revenue Integrity ",(559) 353-7238,,36.880461,-119.810977,,
89,11019H0006,Fresno Community Hospital & Medical Center dba Clovis Community Medical Center,,340B,Unchanged,2755 Herndon Avenue,CLOVIS,CA,93611,11,019,50492,DSH050492,DSH,106100005,040000004,040000095,1316027709,,,,,,,Khaja Ahmed,Director of Pharmacy,(559) 324-4053,,36.837332,-119.668508,5702,2000
92,11019H0007,COALINGA REGIONAL MEDICAL CENTER,,DHCS DSH,Unchanged,1191 PHELPS Ave,COALINGA,CA,93210,11,019,50397,,,106100697,040000085,040000798,,,,,,,,,,,,36.151711,-120.343308,,
88,11019H0009,COMMUNITY REGIONAL MEDICAL CENTER,,340B & DHCS DSH,Unchanged,2823 FRESNO STREET,FRESNO,CA,93721,11,019,50060,DSH050060,DSH,106100717,040000096,040000101,,COMMUNITY REGIONAL MEDICAL CENTER,P. O. BOX 1232,,FRESNO,CA,93715,Marcela Magallon,340B Program Manager,(559) 459-1674,,36.74183869,-119.7839363,502,1003
91,11039H0014,MADERA COMMUNITY HOSPITAL,,340B & DHCS DSH,Unchanged,1250 E ALMOND AVENUE,MADERA,CA,93637,11,039,50568,DSH050568,DSH,106201281,040000191,040000111,1669673646,,,,,,,MARK FOOTE,VP FINANCE/CFO,(559) 675-5505,,36.94529588,-120.0438522,502,3000
93,11019H0016,SAINT AGNES MEDICAL CENTER,,340B,Unchanged,1303 E HERNDON AVE,FRESNO,CA,93720,11,019,50093,DSH050093,DSH,106100899,040000173,040000126,1205845567,,,,,,,Jeremy Stohler,Director of Pharmacy,(559) 450-3407,,36.83729372,-119.7656248,5510,1022
94,12083H0005,LOMPOC HEALTHCARE DISTRICT,,340B & DHCS DSH,Unchanged,1515 EAST OCEAN AVENUE,LOMPOC,CA,93436,12,083,50110,DSH050110,DSH,106420491,050000038,050000018,1194711952,,,,,,,"Chad Signorelli, PHARM D","Director, Pharmacy Services",(805) 737-3337,,34.64009591,-120.4379659,3102,2000
95,12083H0008,MARIAN MEDICAL CENTER,,340B,Unchanged,1400 E CHURCH ST,SANTA MARIA,CA,93454,12,079,50107,DSH050107,DSH,106420493,050000040,050000021,,,,,,,,Ed Guerena,Sr Director of Pharmacy,(805) 739-3453,,34.952045,-120.414694,2211,4007
96,12111H0017,ST JOHNS REGIONAL MEDICAL CENTER,,340B,Unchanged,1600 N ROSE AVE,OXNARD,CA,93030,12,111,50082,DSH050082,DSH,106560529,050000064,050000035,,,,,,,,Richard Carvotta,Director of Pharmacy,(805) 988-2714,,34.216363,-119.158433,4901,1003
97,12111H0019,VENTURA COUNTY MEDICAL CENTER,County,340B & DHCS DSH,Unchanged,3291 LOMA VISTA ROAD,VENTURA,CA,93003,12,111,50159,DSH050159,DSH,106560481,050000032,050000039,,,,,,,,Joseph Flynn,Pharmacy Operations Supervisor,(805) 652-5758,,34.27623852,-119.2516516,1900,2000
219,12111H0020,Ojai Valley Community Hospital,,DHCS DSH,Added,1306 MARICOPA HIGHWAY,OJAI,CA,93023,12,111,050046,,,106560501,050000045,050000023,,,,,,,,"Lashkari, Haady",Administrator,(805) 640-2280,,34.44256,-119.26561,901,2014
98,13025H0001,EL CENTRO REGIONAL MEDICAL CENTER,,340B & DHCS DSH,Unchanged,1415 ROSS AVENUE,EL CENTRO,CA,92243,13,025,50045,DSH050045,DSH,106130699,090000004,090000040,1861409823,,,,,,,"BRUCE BALOG, PHARM D",PHARMACIST IN CHARGE,(760) 339-7180,,32.78150014,-115.5685986,11700,2002
101,13051H0002,Southern Mono Healthcare District DBA Mammoth Hospital,,340B,Unchanged,85 Sierra Park Rd,MAMMOTH LAKES,CA,93546,13,051,51303,CAH051303-00,Critical Access Hospital,106260011,240000008,240000005,,Southern Mono Healthcare District,P. O. Box 660,,Mammoth Lakes,CA,93546,Gabriela MacMillan,Pharmacy Manager,(760) 934-3311,2265,37.644309,-118.963956,200,1140
99,13027H0003,NORTHERN INYO HOSPITAL,,340B,Unchanged,150 PIONEER LANE,BISHOP,CA,93514,13,027,51324,CAH051324-00,Critical Access Hospital,106141273,240000179,240000037,,,,,,,,Jeff Kneip,DIRECTOR OF PHARMACY,(760) 873-2111,,37.36217916,-118.4073323,400,2011
100,13025H0004,PIONEERS MEMORIAL HOSPITAL,,340B & DHCS DSH,Unchanged,207 WEST LEGION ROAD,BRAWLEY,CA,92227,13,025,50342,DSH050342,DSH,106130760,090000087,090000146,1073519443,,,,,,,JOHN P. TEAGUE,DIRECTOR OF PHARMACY,(760) 351-3367,,32.95994752,-115.5531085,10600,4046
212,13027H0005,SOUTHERN INYO HOSPITAL,,340B & DHCS DSH,Added,501 E. LOCUST STREET,LONE PINE,CA,93545,13,027,051302,CAH051302-00,CAH,106141338,240000205,240000102,1831128602,Southern Inyo Hospital,PO Box 1009,,Lone Pine,CA,93545,Lee Barron,CEO/CFO,(760) 876-5501,,36.608334,-118.0581,800,3061
220,13025H0006,Palo Verde Hospital,,DHCS DSH,Added,250 NORTH FIRST STREET,BLYTHE,CA,92225,13,025,050423,,,106331288,250000184,250000042,,,,,,,,"Anaya, Sandra",Administrator,,,33.61316,-114.59549,46101,1019
102,14029H0002,BAKERSFIELD MEMORIAL HOSPITAL,,340B DSH,Unchanged,420 34TH STREET,BAKERSFIELD,CA,93301,14,029,50036,DSH050036,DSH,106150722,120000181,120000338,,Dignity Health AP,3033 N. 3rd Avenune,,Phoenix,CA,85013,DAVID LOZANO,DIRECTOR OF PHARMACY,(661) 327-4647,1898,35.39047316,-119.0065782,600,1024
103,14029H0003,Delano Regional Medical Center,,340B & DHCS DSH,Unchanged,1401 Garces Hwy,DELANO,CA,93215,14,029,50608,DSH050608,DSH,106150706,120000180,120000336,,Central California Foundation for Health dba Delano Regional Medical Center,PO Box 460,,Delano,CA,93215,Terry Monrian,Pharmacy Director,(661) 721-5303,,35.7614087,-119.2392129,5003,1012
104,14029H0004,GOOD SAMARITAN HOSPITAL- BAKERSFIELD,,DHCS DSH,Unchanged,901 OLIVE Dr,BAKERSFIELD,CA,93308,14,029,50257,,,106150775,120000146,120000319,,,,,,,,"Ganesh, Acharya",Administrator,(661) 399-4461,,35.412277,-119.038988,,
106,14029H0007,KERN MEDICAL CENTER,County,340B & DHCS DSH,Unchanged,1700 MT. VERNON AVE.,BAKERSFIELD,CA,93306,14,029,50315,DSH050315,DSH,106150736,120000182,120000342,1376623538,,,,,,,Russell Judd,CEO,(661) 326-2095,,35.38170964,-118.9674304,1201,2013
107,14029H0008,KERN VALLEY HEALTHCARE DISTRICT,,340B & DHCS DSH,Unchanged,6412 LAUREL AVENUE,LAKE ISABELLA,CA,93240,14,029,51314,CAH051314-00,Critical Access Hospital,106150737,120000183,120000344,,KERN VALLEY HEALTHCARE DISTRICT,6412 LAUREL AVENUE,P.O. BOX 1628,LAKE ISABELLA,CA,93240,CHESTER BEEDLE,CHIEF FINANCIAL OFFICER,(760) 379-6615,,35.6353477,-118.406352,5203,3111
105,14029H0009,Dignity Health d/b/a Mercy Hospital and Mercy Southwest Hospital,,340B,Removed,2215 Truxtun Avenue,BAKERSFIELD,CA,93301,14,029,50295,DSH050295,DSH,106150761,120000184,120000404,,,,,,,,Andrew Cantu,Chief Financial Officer,(661) 632-5296,,35.37336774,-119.0271982,1700,4031
108,14029H0011,Ridgecrest Regional Hospital,,340B,Unchanged,1081 N. China Lake Blvd.,RIDGECREST,CA,93555,14,029,51333,CAH051333-00,Critical Access Hospital,106150782,120000186,120000409,,,,,,,,Margie Rose,Innovation Manager,(760) 499-3815,,35.64039081,-117.6698681,5401,3000
109,14029H0012,SAN JOAQUIN COMMUNITY HOSPITAL,,340B,Unchanged,2615 Chester Avenue,BAKERSFIELD,CA,93301,14,029,50455,DSH050455,DSH,106150788,120000187,120000411,1538157508,,,,,,,Adrian Gonzales,PHARMACY DIRECTOR,(661) 395-3000,,35.38302729,-119.0187723,1600,2022
110,14029H0013,Tehachapi Valley Healthcare District,,340B,Unchanged,"115 W. ""E"" Street",TEHACHAPI,CA,93561,14,029,51301,CAH051301-00,Critical Access Hospital,106150808,120000188,120000413,1275538530,,,,,,,"KIMBERLY HOFFMANN, PharmD",PHARMACY DIRECTOR,(661) 203-4516,,35.12993829,-118.4481891,6100,1007
111,15037H0002,ANTELOPE VALLEY HOSPITAL,,340B & DHCS DSH,Unchanged,1600 WEST AVENUE J,LANCASTER,CA,93534,15,037,50056,DSH050056,DSH,106190034,930000008,930000008,,,,,,,,"Knox, Dennis",Administrator,(661) 949-5000,,34.6893358,-118.1588025,,
112,15037H0004,BEVERLY HOSPITAL,,340B & DHCS DSH,Unchanged,309 WEST BEVERLY BOULEVARD,MONTEBELLO,CA,90640,15,037,50350,DSH050350,DSH,106190081,930000389,930000012,,,,,,,,"WAYNE CAMPBELL, PHARMD",DIRECTOR OF PHARMACY,(323) 837-3470,,34.01607,-118.100714,530101,3000
113,15037H0007,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,,340B,Removed,210 WEST BERNADINO RD,COVINA,CA,91723,15,037,50382,DSH050382,DSH,106190413,930000131,930000070,1982629440,,,,,,,Brian Yamate,Director of Pharmacy,(626) 938-7569,,34.09003453,-117.8926103,,
114,15037H0008,CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,,DHCS DSH,Unchanged,1115 S SUNSET AVE,WEST COVINA,CA,91790,15,037,50369,,,106190636,930000131,930000132,1063441293,,,,,,,Sheri Hustana,Director of Pharmacy,(626) 813-2812,,34.06146393,-117.9460072,406702,1022
115,15037H0009,CITY OF HOPE NATIONAL MEDICAL CENTER,,340B,Unchanged,1500 E. DUARTE ROAD,DUARTE,CA,91010,15,037,50146,CAN050146-00,Cancer Hospital,106190176,,930000036,1346283140,,,,,,,CARL KILDOO,DIRECTOR OF PHARMACY,(626) 301-8833,,34.132228,-117.970744,430102,1002
116,15037H0011,PACIFIC HOSPITAL OF LONG BEACH,,DHCS DSH,Unchanged,2776 PACIFIC Ave,LONG BEACH,CA,90806,15,037,50776,,,106190587,930000117,930000114,,,,,,,,"Einhorn, Samuel",Administrator,(562) 595-1911,,33.80760478,-118.1937027,,
117,15037H0014,"DOCTORS HOSPITAL OF WEST COVINA, INC",,DHCS DSH,Removed,725 S ORANGE Ave,WEST COVINA,CA,91790,15,037,50096,,,106190857,930000188,930000188,,,,,,,,"Wallman, Gerald",Administrator,(626) 338-8481,,34.07096327,-117.9441051,,
118,15037H0015,Miller Childrens and Womens Hospital Long Beach,Pediatric,340B & DHCS DSH,Unchanged,2801 Atlantic Avenue,LONG BEACH,CA,90806,15,037,53309,PED053309-00,Childrens Hospital,106196168,930000949,930001709,1477596583,,,,,,,Jane Hodding,"Executive Director, Pharmacy",(562) 933-0280,,33.808008,-118.185011,572202,1015
119,15037H0016,EAST VALLEY HOSPITAL MEDICAL CENTER,,DHCS DSH,Removed,150 W ROUTE 66,GLENDORA,CA,91740,15,037,50205,,,106190328,930000060,930000060,,,,,,,,"Brentano, Gregory T",Administrator,(626) 852-5050,,34.1286773,-117.8629572,,
120,15037H0018,GARFIELD MEDICAL CENTER,,DHCS DSH,Unchanged,525 N GARFIELD Ave,MONTEREY PARK,CA,91754,15,037,50737,,,106190315,930000057,930000058,,,,,,,,"Batista, David J",Administrator,(626) 573-2222,,34.06778289,-118.1228909,,
121,15037H0019,GLENDALE ADVENTIST MEDICAL CENTER,,340B,Unchanged,1509 WILSON TERRACE,GLENDALE,CA,91206,15,037,50239,DSH050239,DSH,106190323,930000059,930000059,1831188275,,,,,,,Romic Eskandarian Pharm.D.,Director Of Pharmacy,(818) 409-8437,,34.14963205,-118.2314184,301000,3012
122,15037H0020,GLENDALE MEMORIAL HOSPITAL & HEALTH CENTER,,340B,Unchanged,1420 SOUTH CENTRAL AVE,GLENDALE,CA,91204,15,037,50058,DSH050058,DSH,106190522,930000099,930000093,,,,,,,,Leslie Pech,Pharmacy Director,(818) 507-4155,,34.12844715,-118.2577891,302401,5008
123,15037H0021,GREATER EL MONTE COMMUNITY HOSPITAL,,DHCS DSH,Unchanged,1701 SANTA ANITA Ave,SOUTH EL MONTE,CA,91733,15,037,50738,,,106190352,930000063,930000062,,,,,,,,"Toy, Stanley",Administrator,(626) 579-7777,,34.04816726,-118.0424396,,
124,15037H0030,LONG BEACH MEMORIAL MEDICAL CENTER,,340B,Unchanged,2801 ATLANTIC AVENUE,LONG BEACH,CA,90806,15,037,50485,DSH050485,DSH,106190525,930000102,930001709,1972514503,,,,,,,JANE HODDING,EXECUTIVE DIRECTOR OF PHARMACY,(562) 933-0282,,33.808008,-118.185011,572202,1015
125,15037H0031,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,,340B,Unchanged,300 WEST HUNTINGTON DRIVE,ARCADIA,CA,91007,15,037,50238,DSH050238,DSH,106190529,930000103,930000096,1508851288,,,,,,,DOROTHY WONG,DIRECTOR OF PHARMACY,(626) 574-3620,,34.13654,-118.040899,430721,1015
126,15037H0033,MONTEREY PARK HOSPITAL,,DHCS DSH,Unchanged,900 S ATLANTIC Blvd,MONTEREY PARK,CA,91754,15,037,50736,,,106190547,930000108,930000108,,,,,,,,"Cohen, Philip",Administrator,(626) 570-9000,,34.05086822,-118.1380766,,
127,15037H0036,POMONA VALLEY HOSPITAL MEDICAL CENTER,,340B & DHCS DSH,Unchanged,1798 NORTH GAREY AVENUE,POMONA,CA,91767,15,037,50231,DSH050231,DSH,106190630,930000128,930000123,,,,,,,,"THOMAS D DOTTS, PHARM D","DIRECTOR, PHARMACY SERVICES",(909) 865-9656,,34.077175,-117.752294,402102,3010
128,15037H0037,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,,340B,Unchanged,12401 WASHINGTON BLVD.,WHITTIER,CA,90602,15,037,50169,DSH050169,DSH,106190631,930000129,930000099,1043215379,,,,,,,Jacquelyn Cituk,Executive Director of Enterprise Pharmacy Services,(562) 698-0811,16386,33.967308,-118.048017,502100,2001
129,15037H0039,PROVIDENCE HEALTH SYSTEM SOUTHERN CALIFORNIA DBA PROVIDENCE  LITTLE COMPANY OF MARY MEDICAL CENTER SAN PEDRO,,340B & DHCS DSH,Unchanged,1300 W 7TH STREET,SAN PEDRO,CA,90732,15,037,50078,DSH050078,DSH,106190680,930000142,930000157,1942247291,,,,,,,MUNO BHOLAT,DIRECTOR OF PHARMACY,(310) 303-5722,,33.737825,-118.305555,609900,2008
130,15037H0041,PROVIDENCE HEALTH SYSTEM SOUTHERN CALIFORNIA DBA PROVIDENCE SAINT JOSEPH MEDICAL CENTER,,340B,Unchanged,501 S BUENA VISTA STREET,BURBANK,CA,91505,15,037,50235,DSH050235,DSH,106190758,930000159,930000101,1336173269,,,,,,,TERESA LEE-YU,DIRECTOR OF PHARMACY,(818) 847-3788,,34.15577,-118.3269258,311600,5001
131,15037H0045,ST MARY MEDICAL CENTER,,DHCS DSH,Unchanged,1050 LINDEN AVE,LONG BEACH,CA,90813,15,037,50191,,,106190053,930000012,930000103,,,,,,,,MIGUEL GUTIERREZ,"DIRECTOR, PHARMACY OPERATION",(562) 491-9267,,33.77996092,-118.1866955,576301,4011
132,15037H0048,WHITTIER HOSPITAL MEDICAL CENTER,,DHCS DSH,Unchanged,9080 COLIMA Rd,WHITTIER,CA,90605,15,037,50735,,,106190883,930000402,930001410,,,,,,,,,,,,33.95106139,-118.0049033,,
217,15037H0049,Alhambra Hospital Medical Center,,DHCS DSH,Added,100 SOUTH RAYMOND AVENUE,ALHAMBRA,CA,91801,15,037,050281,,,106190017,930000005,930000005,,,,,,,,"Lai, Iris",Administrator,(626) 570-1606,,34.089756,-118.14497,480901,1005
133,16037H0002,CALIFORNIA HOSPITAL MEDICAL CENTER,,340B & DHCS DSH,Unchanged,1401 SOUTH GRAND AVENUE,LOS ANGELES,CA,90015,16,037,50149,DSH050149,DSH,106190125,930000024,930000002,,,,,,,,Kil Yi,Director of Pharmacy,(213) 742-5483,,34.037195,-118.265382,224010,1001
134,16037H0003,CEDARS-SINAI MEDICAL CENTER,,340B,Unchanged,8700 BEVERLY BOULEVARD,LOS ANGELES,CA,90048,16,037,50625,DSH050625,DSH,106190555,930000110,930000004,1639172372,,,,,,,MELSEN KWONG,PHARMACY MANAGER,(310) 423-3235,,34.076356,-118.378826,194500,2021
135,16037H0004,CENTINELA HOSPITAL MEDICAL CENTER,,DHCS DSH,Unchanged,555 E HARDY St,INGLEWOOD,CA,90301,16,037,50739,,,106190148,930000027,930000022,,,,,,,,"Bradley, Linda",Administrator,(310) 673-4660,,33.94909145,-118.3481764,,
136,16037H0006,Children's Hospital of Los Angeles,Pediatric,340B & DHCS DSH,Unchanged,4650 Sunset Boulevard,LOS ANGELES,CA,90027,16,037,53302,PED053302-00,Childrens Hospital,106190170,930000032,930000034,1124073366,,,,,,,Carol Taketomo,Pharmacy Director,(323) 361-5988,,34.09815545,-118.2906902,191302,2003
137,16037H0007,COMMUNITY HOSPITAL OF HUNTINGTON PARK,,DHCS DSH,Unchanged,2623 E SLAUSON Ave,HUNTINGTON PARK,CA,90255,16,037,50091,,,106190197,930000038,930000040,,,,,,,,,,,,33.98921642,-118.2246104,,
138,16037H0009,EAST LOS ANGELES DOCTORS HOSPITAL,,DHCS DSH,Unchanged,4060 WHITTIER Blvd,LOS ANGELES,CA,90023,16,037,50641,,,106190256,930000049,930000053,,,,,,,,,,,,34.02392303,-118.1841174,,
139,16037H0010,ENCINO HOSPITAL MEDICAL CENTER,,DHCS DSH,Removed,16237 VENTURA Blvd,ENCINO,CA,91436,16,037,50158,,,106190280,930000051,930000054,,,,,,,,"Park, Bockhi",Administrator,(818) 995-5000,,34.15677994,-118.4866155,,
140,16037H0011,GOOD SAMARITAN HOSPITAL,,340B,Unchanged,616 SOUTH WITMER STREET,LOS ANGELES,CA,90017,16,037,50471,DSH050471,DSH,106190392,930000071,930000068,1508859323,,,,,,,JAMIE WHITCOMB,DIRECTOR OF REVENUE MANAGEMENT,(213) 977-2548,,34.05319161,-118.2652918,209102,2000
141,16037H0013,HOLLYWOOD PREBYTERIAN MEDICAL CENTER,,DHCS DSH,Unchanged,1300 N VERMONT Ave,LOS ANGELES,CA,90027,16,037,50063,,,106190382,930000067,930000065,,,,,,,,"Stefanek, Allen",Administrator,(213) 413-3000,,34.095548,-118.29175,,
142,16037H0020,Keck Hospital of USC,,340B,Unchanged,1500 SAN PABLO STREET,LOS ANGELES,CA,90033,16,037,50696,DSH050696,DSH,106194219,930000459,930000912,1952546616,,,,,,,EVELYN WING,340B MANAGER,(323) 865-3611,,34.06267162,-118.2030124,203300,1006
143,16037H0023,LOS ANGELES COUNTY (LAC) Harbor UCLA Medical Center,County,340B & DHCS DSH,Unchanged,1000 WEST CARSON ST.,TORRANCE,CA,90502,16,037,50376,DSH050376,DSH,106191227,060000129,060000697,,,,,,,,"Jennie Ung, Pharm.D.","Director, Pharmacy Services",(310) 222-2359,,33.831586,-118.29207,543503,2005
151,16037H0024,OLIVE VIEW MEDICAL CENTER,County,340B & DHCS DSH,Unchanged,14445 OLIVE VIEW DR.,SYLMAR,CA,91342,16,037,50040,DSH050040,DSH,106191231,060000133,060000631,1225146111,,,,,,,STEVE LEE,"DIRECTOR,PHARMACY SVCS",(818) 364-3059,,34.32439028,-118.4464906,106010,1036
157,16037H0025,RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,County,340B & DHCS DSH,Unchanged,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,16,037,50717,DSH050717,DSH,106191306,,060000028,1144342932,,,,,,,"BRIAN JOYO, PHARM D",PHARMACY DIRECTOR,(562) 401-7239,,33.92705147,-118.1580794,551600,1011
144,16037H0026,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES - USC MEDICAL CENTER,County,340B & DHCS DSH,Unchanged,"1200 N. STATE ST, RM A1C109",LOS ANGELES,CA,90033,16,037,50373,DSH050373,DSH,106191228,060000130,060000700,1124152954,,,,,,,Beatrisa Bannister,PHARMACY SERVICES CHIEF,(323) 409-4280,,34.058611,-118.209606,203300,1021
145,16037H0027,LOS ANGELES COMMUNITY HOSPITAL,,DHCS DSH,Unchanged,4081 E OLYMPIC Blvd,LOS ANGELES,CA,90023,16,037,50663,,,106190198,930000039,930000085,,,,,,,,"Levy, Keith",Administrator,(323) 267-0477,,34.018894,-118.18619,,
146,16037H0032,MEMORIAL HOSPITAL OF GARDENA,,DHCS DSH,Unchanged,1145 W REDONDO BEACH BLVD,GARDENA,CA,90247,16,037,50468,,,106190521,930000098,930000092,,,,,,,,"Lonergan, Araceli",Administrator,(310) 532-4200,,33.89236166,-118.2960804,,
147,16037H0034,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,,DHCS DSH,Unchanged,14850 ROSCOE Blvd,PANORAMA CITY,CA,91402,16,037,50704,,,106190524,930000101,930000027,,,,,,,,"Theiring, James",Administrator,(818) 904-3100,,34.22148088,-118.4564033,,
148,16037H0036,NORTHRIDGE HOSPITAL MEDICAL CENTER,,340B,Unchanged,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,16,037,50116,DSH050116,DSH,106190568,930000114,930000111,,,,,,,,Blair Galbreath,Director of Pharmacy,(818) 885-8500,2606,34.22079138,-118.5317547,131400,1001
149,16037H0038,PACIFIC ALLIANCE MEDICAL CENTER,,DHCS DSH,Unchanged,531 W COLLEGE St,LOS ANGELES,CA,90012,16,037,50018,,,106190307,930000054,930000057,,,,,,,,"Edwards, John",Administrator,(213) 830-6506,,34.06457361,-118.2390844,,
150,16037H0039,PACIFICA HOSPITAL OF THE VALLEY,,DHCS DSH,Unchanged,9449 SAN FERNANDO Rd,SUN VALLEY,CA,91352,16,037,50378,,,106190696,930000148,930000133,,,,,,,,"Mousa, Ayman",Administrator,(818) 767-3310,,34.24100806,-118.3955761,,
